95
3
1,6
#=	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	    l
-	    l
-	   k
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	    l
-	    l
-	   k
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	    l
-	    l
-	   k
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	    l
-	    l
-	   k
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	    l
-	    l
-	   k
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-	
+	   k
-	
-	
#	s
-	
-*)
+	    l
-	    l
-	   k
#	s   l
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s    l
-	
-	
+	  d
-	
-	
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s   l
-	
-	
+	  d
s   l
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s    l
-	
-	
+	  d
-	
-	
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#*=	s   l
-	
-	
+	  d
-	
-	
#	s   l
-	
-	
+	    l
-	
-	
#	s   l
-	
-	
+	    l
-	
-	s
#	s   l
-	
-	
+	    l
-	
-	
#	s   l
-	
-	
+*ß	   dl
-	   d
-	   d
#	s   l
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s    l
-	
-	
+	  d
-	
-	
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s   l
-	
-	
+	  d
s   l
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  dk
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d
#	s    l
-	
-	
+	  d
-	
-*=
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	   k
-	
-	   k
#	s
-	   k
-	   k
+	  d
-	   k
-	  d






#	
-	
-	
+	
-	
-	
#	
-	
-	
+	
-	
-	

